ID;Loan_duration_in_month;Purpose;Loan_Amount;Occupation;Monthly_Income;Length_Employment;Marital_Status;Residential_Property_Status;Home_Address;Office_Address;Age;Present_Residence_Since;Email_Domain_Type
ABC0001;1;electronics;50;permanent_employee;e. More 2000;e. More7 years;married;own;Area_3;Area_3;67;d. More10 years;Public_Domain
ABC0002;1;household_appliances;200;permanent_employee;a. Less 100;c. 1-4 years;single;own;Area_2;Area_2;22;b. 1-5 years;Public_Domain
ABC0003;3;food;100;self-employed;a. Less 100;d. 4-7 years;married;own;Area_2;Area_1;49;c. 5-10 years;Public_Domain
ABC0004;6;vacation;200;permanent_employee;a. Less 100;d. 4-7 years;married;family_owned;Area_1;Area_1;45;d. More10 years;Professional_Domain
ABC0005;4;education;100;permanent_employee;a. Less 100;c. 1-4 years;married;family_owned;Area_3;Area_3;53;d. More10 years;Public_Domain
ABC0006;5;food;50;self-employed;e. More 2000;c. 1-4 years;married;family_owned;Area_1;Area_2;35;d. More10 years;Public_Domain
ABC0007;1;vacation;50;permanent_employee;c. 500 - 1000;e. More7 years;married;own;Area_2;Area_3;53;d. More10 years;Public_Domain
ABC0008;5;business_loan;50;unemployed;a. Less 100;c. 1-4 years;married;rent;Area_1;Area_1;35;b. 1-5 years;Public_Domain
ABC0009;1;household_appliances;50;self-employed;d. 1000 - 2000;d. 4-7 years;divorced;own;Area_2;Area_1;61;d. More10 years;Public_Domain
ABC0010;3;vacation;50;unemployed;a. Less 100;a. unemployed;divorced;own;Area_2;Area_2;28;b. 1-5 years;Public_Domain
ABC0011;6;household_appliances;50;permanent_employee;a. Less 100;b. Less1 years;single;rent;Area_2;Area_3;25;a. Less1 year;Public_Domain
ABC0012;6;business_loan;100;permanent_employee;a. Less 100;b. Less1 years;single;rent;Area_1;Area_3;24;d. More10 years;Public_Domain
ABC0013;2;household_appliances;50;permanent_employee;a. Less 100;c. 1-4 years;single;own;Area_2;Area_1;22;a. Less1 year;Public_Domain
ABC0014;4;electronics;50;self-employed;a. Less 100;e. More7 years;married;own;Area_3;Area_2;60;d. More10 years;Public_Domain
